Feature,Importance
batch_id_BATCH_00078,0.006999607
recipe_id_RCP_017,0.0066648913
batch_id_BATCH_00170,0.006600746
batch_id_BATCH_00352,0.006553599
batch_id_BATCH_00281,0.0061394256
batch_id_BATCH_00168,0.0057563824
batch_id_BATCH_00132,0.005752866
visual_score,0.0056728446
batch_id_BATCH_00102,0.0056111156
recipe_id_RCP_010,0.0054318695
batch_id_BATCH_00324,0.005249866
recipe_id_RCP_028,0.005229696
batch_id_BATCH_00232,0.005203975
press_id_PRESS_01,0.0051987893
recipe_id_RCP_020,0.0051745987
batch_id_BATCH_00275,0.0051744557
batch_id_BATCH_00103,0.005156728
recipe_id_RCP_030,0.0051114685
press_id_PRESS_11,0.0050763725
batch_id_BATCH_00066,0.0050656092
